target_layer,condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit
TEL-nominal,ablation-terrain-off,0.1680044910690836,0.41,130.67779060829358,230.57789414940035,0.5900000000000001
TEL-nominal,ablation-independent,0.032642697694411305,0.247,138.08290698807008,260.0064780260533,0.753
TEL-nominal,ablation-effort-greedy,0.14101517643916428,0.598,148.52075755138597,209.4154130157288,0.402
TEL-nominal,proposed-terrain-gcs-team-h1,0.10544996716056647,0.558,135.17479549323852,208.02753588522708,0.44199999999999995
TEL-nominal,candidate-terrain-gcs-team-h2,0.11488824227670986,0.553,137.78271060337772,210.29383896366787,0.44699999999999995
TEL-nominal,candidate-overlap-aware-team-h1,0.1474830299451509,0.593,140.75213390789793,205.56601540738347,0.40700000000000003
TEL-nominal,baseline-sarops-core,0.11426541193909631,0.361,141.11761510680444,242.64345905355643,0.639
TEL-nominal,baseline-sarops-adapted,0.11204558073580713,0.328,136.8323625859326,246.4810149281859,0.6719999999999999
Tank-nominal,ablation-terrain-off,0.1680044910690836,0.459,131.0446693258111,222.4495032205473,0.5409999999999999
Tank-nominal,ablation-independent,0.032642697694411305,0.25,149.22726513991017,262.3068162849775,0.75
Tank-nominal,ablation-effort-greedy,0.14101517643916428,0.628,155.62088725210236,209.32991719432027,0.372
Tank-nominal,proposed-terrain-gcs-team-h1,0.10544996716056647,0.596,135.00160920558045,201.66095908652596,0.404
Tank-nominal,candidate-terrain-gcs-team-h2,0.11488824227670986,0.629,141.9654219933835,200.59625043383824,0.371
Tank-nominal,candidate-overlap-aware-team-h1,0.1474830299451509,0.643,144.05546294325518,199.72766267251308,0.357
Tank-nominal,baseline-sarops-core,0.11426541193909631,0.284,137.39595516409034,253.82045126660165,0.716
Tank-nominal,baseline-sarops-adapted,0.11204558073580713,0.253,126.97129661887818,256.2237380445762,0.747
Aggregate,ablation-terrain-off,0.1680044910690836,0.4345,130.87157349821365,226.5136986849738,0.5655
Aggregate,ablation-independent,0.032642697694411305,0.2485,143.6887209477482,261.15664715551543,0.7515000000000001
Aggregate,ablation-effort-greedy,0.1410151764391643,0.613,152.15769185158982,209.37266510502457,0.387
Aggregate,proposed-terrain-gcs-team-h1,0.10544996716056647,0.577,135.08535092872881,204.8442474858765,0.42300000000000004
Aggregate,candidate-terrain-gcs-team-h2,0.11488824227670984,0.591,140.0085358692945,205.44504469875304,0.40900000000000003
Aggregate,candidate-overlap-aware-team-h1,0.1474830299451509,0.618,142.47061333324964,202.64683903994828,0.382
Aggregate,baseline-sarops-core,0.11426541193909631,0.3225,139.47893072892722,248.23195516007905,0.6775
Aggregate,baseline-sarops-adapted,0.11204558073580713,0.2905,132.53830115793815,251.35237648638105,0.7095
