target_layer,condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit
TEL-nominal,ablation-terrain-off,0.1650480432165015,0.326125,148.22899742932464,250.5036817866385,0.673875
TEL-nominal,ablation-independent,0.032642697694411305,0.255,136.79247646597383,258.3820814988233,0.745
TEL-nominal,ablation-effort-greedy,0.13628605762568213,0.58585,151.0873548532579,212.75952684078115,0.41415
TEL-nominal,proposed-terrain-gcs-team-h1,0.11039268483983275,0.5741,136.12029627159123,205.91666208952054,0.42589999999999995
TEL-nominal,candidate-terrain-gcs-team-h2,0.11362860784390816,0.564475,140.25193141216613,209.82620898388248,0.43552500000000005
TEL-nominal,baseline-sarops-core,0.11426541193909631,0.310025,144.5922609210745,251.81971569205612,0.689975
TEL-nominal,baseline-sarops-adapted,0.11454289083950746,0.311875,142.62258121478206,250.91791751636015,0.688125
Tank-nominal,ablation-terrain-off,0.1650480432165015,0.414725,156.93719999949363,240.66828026979,0.585275
Tank-nominal,ablation-independent,0.032642697694411305,0.28515,141.22315091031336,254.72478148207585,0.71485
Tank-nominal,ablation-effort-greedy,0.13628605762568213,0.645425,151.42989067906754,204.10913719153717,0.354575
Tank-nominal,proposed-terrain-gcs-team-h1,0.11039268483983275,0.6261,138.03068032889857,198.5910089539234,0.3739
Tank-nominal,candidate-terrain-gcs-team-h2,0.11362860784390816,0.623325,143.22719645838492,202.2795922324228,0.376675
Tank-nominal,baseline-sarops-core,0.11426541193909631,0.2756,143.67330016574942,256.91636152568054,0.7243999999999999
Tank-nominal,baseline-sarops-adapted,0.11454289083950746,0.281975,142.60728509675425,255.61918921515726,0.718025
Aggregate,ablation-terrain-off,0.1650480432165015,0.370425,153.10381596332385,245.5859810282143,0.629575
Aggregate,ablation-independent,0.032642697694411305,0.270075,139.1314690010167,256.55343149044955,0.7299249999999999
Aggregate,ablation-effort-greedy,0.13628605762568213,0.6156375,151.2669095306234,208.43433201615915,0.38436250000000005
Aggregate,proposed-terrain-gcs-team-h1,0.11039268483983275,0.6001,137.11687305736038,202.25383552172198,0.39990000000000003
Aggregate,candidate-terrain-gcs-team-h2,0.11362860784390816,0.5939,141.8132692509726,206.0529006081526,0.4061
Aggregate,baseline-sarops-core,0.11426541193909631,0.2928125,144.15979033978513,254.36803860886832,0.7071875000000001
Aggregate,baseline-sarops-adapted,0.11454289083950746,0.296925,142.61531823106415,253.26855336575872,0.703075
