condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit,coverage_redundancy_ratio,mean_route_distance_m,max_route_distance_m,team_total_distance_m
d10000-s320 / sensor_off,0.16928209176162418,0.3,317.0630093632691,484.6434924471649,0.7,0.15672235481304697,22390.59994013092,22684.967768083054,134343.59964078554
d10000-s320 / sensor_on,0.25751638959020656,0.3,293.28777750585186,477.5109228899397,0.7,0.4070601213458356,22390.59994013092,22684.967768083054,134343.59964078554
d10000-s400 / sensor_off,0.170479842410881,0.3,311.0049840830721,482.82608486310585,0.7,0.16077044025157228,22402.700987457676,22596.4492251496,134416.20592474606
d10000-s400 / sensor_on,0.2698132962559095,0.4,273.9105462956016,443.4424382081128,0.6,0.3729820003711264,22402.700987457676,22596.4492251496,134416.20592474606
d10000-s800 / sensor_off,0.18014169764821894,0.4,371.7132187458851,482.56350718822614,0.6,0.1118110236220472,22292.220702912575,22503.862099670387,133753.32421747543
d10000-s800 / sensor_on,0.3516595906217891,0.7,316.42076286699785,388.4336438518346,0.30000000000000004,0.195469492144684,22292.220702912575,22503.862099670387,133753.32421747543
d15000-s320 / sensor_off,0.13758162457796155,0.4,456.4048324552199,593.379262516896,0.6,0.3105242096838735,27909.62113826913,28201.343758207528,167457.72682961478
d15000-s320 / sensor_on,0.21854956846771953,0.6,427.1876565866559,530.1908136418657,0.4,0.4851392024078255,27909.62113826913,28201.343758207528,167457.72682961478
d15000-s400 / sensor_off,0.1378211747078129,0.3,462.25019383279715,617.9619426071154,0.7,0.3104274870155813,27898.0497621288,28199.932948155347,167388.2985727728
d15000-s400 / sensor_on,0.23100617521998998,0.6,414.43675460088474,522.5402724504029,0.4,0.45052231718898383,27898.0497621288,28199.932948155347,167388.2985727728
d15000-s800 / sensor_off,0.16800449106908363,0.1,519.2110779195641,668.1471020941686,0.9,0.2450663796196627,27929.24028011041,28288.216557818618,167575.44168066248
d15000-s800 / sensor_on,0.32459042594858595,0.6,366.10814105923595,493.5431043254137,0.4,0.26372034051802207,27929.24028011041,28288.216557818618,167575.44168066248
d5000-s320 / sensor_off,0.16393213886161062,0.4,265.9359188256392,363.31347737519184,0.6,0.24131559497413158,16554.849161123424,16783.50140872034,99329.09496674054
d5000-s320 / sensor_on,0.2425844314961388,0.4,265.9359188256392,363.31347737519184,0.6,0.43076634813565673,16554.849161123424,16783.50140872034,99329.09496674054
d5000-s400 / sensor_off,0.16393213886161062,0.4,266.25992492239146,363.4430798138927,0.6,0.24131559497413158,16547.46541768006,16782.36970668098,99284.79250608037
d5000-s400 / sensor_on,0.2535238874260174,0.7,195.88308298078962,265.58771300902083,0.30000000000000004,0.4056533133657806,16547.46541768006,16782.36970668098,99284.79250608037
d5000-s800 / sensor_off,0.17127834284371884,0.3,245.47452500670428,373.40465232110336,0.7,0.19692998876825163,16564.072695335162,16745.607956269887,99384.43617201096
d5000-s800 / sensor_on,0.30670401625301813,0.6,109.99132219322856,237.2875332125612,0.4,0.28579397545555973,16564.072695335162,16745.607956269887,99384.43617201096
