condition,checkpoint_type,sample_count_per_seed,seed_count,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,reliability_status
myopic,sample,100,,0.1865,0.1615,0.214,274.22147705074,270.8450633744417,277.24483769581224,insufficient-design
myopic,sample,300,,0.19366666666666665,0.17116250000000002,0.21583333333333332,273.5842369670555,270.91309642174366,276.2032187464976,insufficient-design
myopic,sample,1000,,0.19125,0.1709,0.21150124999999997,273.7933198456661,271.63768693050037,275.9717917751271,reliable
myopic,seed,,5,0.2212,0.1842,0.2582,269.98736253422993,266.2323876711502,273.9945327872652,insufficient-design
myopic,seed,,10,0.2107,0.1818,0.2367,271.7862705980827,268.9506420290408,274.7478963271814,insufficient-design
myopic,seed,,20,0.19125,0.1703,0.21195,273.7933198456661,271.61016618683936,275.9406943922224,reliable
beam,sample,100,,0.2315,0.1965,0.2640124999999998,265.5437773150537,260.2947629811415,270.88666023513196,insufficient-design
beam,sample,300,,0.2255,0.20233333333333334,0.248,266.1004055289199,262.3047181567054,269.79528762407426,insufficient-design
beam,sample,1000,,0.22365,0.20429875,0.24305374999999993,266.2530575403134,263.04406112514437,269.2701151460858,reliable
beam,seed,,5,0.2336,0.20097000000000015,0.2674,264.7702857190446,257.1342038649404,270.0391415602387,insufficient-design
beam,seed,,10,0.2351,0.2122975,0.2562,265.3059011003515,260.6110256658395,269.1422708635067,insufficient-design
beam,seed,,20,0.22365,0.20415,0.2426,266.2530575403134,263.1675370267386,269.20808787391053,reliable
fab,sample,100,,0.196,0.171,0.224,274.31132994438934,270.9487955712935,277.54251274822514,insufficient-design
fab,sample,300,,0.20016666666666666,0.179,0.221,274.0720358281824,271.5109212272553,276.5166888634199,insufficient-design
fab,sample,1000,,0.1953,0.17695,0.2129,274.38581982180295,272.2346422164397,276.36934956375194,reliable
fab,seed,,5,0.222,0.1904,0.2534,269.9359385329158,266.3369403569279,273.77706642775524,insufficient-design
fab,seed,,10,0.2122,0.1882,0.2353,271.9564784169142,269.38264408970286,274.68775266770285,insufficient-design
fab,seed,,20,0.1953,0.17814875,0.21290249999999997,274.38581982180295,272.2963054877881,276.3881075289948,reliable
fab-route,sample,100,,0.2095,0.1865,0.2325,267.08306278877296,262.43646268412095,271.3165901115883,insufficient-design
fab-route,sample,300,,0.20816666666666667,0.1905,0.22583333333333333,267.10243293818803,263.0557276791511,270.61531187352506,insufficient-design
fab-route,sample,1000,,0.2032,0.1858,0.22050124999999998,268.12048317443504,264.3411530021602,271.55353726917957,reliable
fab-route,seed,,5,0.2046,0.1832,0.2342,267.46367930862215,258.76331404767313,274.06959112308533,insufficient-design
fab-route,seed,,10,0.2111,0.19019750000000002,0.23220249999999995,267.6022974476844,261.8968989744488,272.4084441301201,insufficient-design
fab-route,seed,,20,0.2032,0.18605,0.22005,268.12048317443504,264.37540366223294,271.5039991606187,reliable
