condition,checkpoint_type,sample_count_per_seed,seed_count,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,reliability_status
independent,sample,100,,0.2105,0.1955,0.225875,270.846007106328,268.80460458920913,272.86742456955506,insufficient-design
independent,sample,300,,0.20929166666666665,0.19624895833333333,0.2225,271.1817123092897,269.4716863231756,272.87931325417964,insufficient-design
independent,sample,1000,,0.2047125,0.191925,0.21790062500000001,271.9044367043225,270.24768539019254,273.5626987141206,reliable
independent,seed,,5,0.183,0.0886,0.2664,275.76136558008034,263.40667580935553,287.71446708094516,insufficient-design
independent,seed,,10,0.1878,0.1354,0.23450249999999995,274.2055156042176,268.1776486635817,280.7884492345574,insufficient-design
independent,seed,,20,0.1963,0.16554625,0.22970124999999997,272.48964341831703,268.34124912837035,276.6732262738039,precision-not-met
independent,seed,,80,0.2047125,0.1917740625,0.218188125,271.9044367043225,270.3549104220847,273.5214983523173,reliable
shared,sample,100,,0.21,0.194746875,0.2255,270.8979432493771,268.83740404071284,273.01213983736125,insufficient-design
shared,sample,300,,0.20916666666666667,0.1959979166666667,0.22241666666666668,271.19999551868904,269.4443435894345,272.9227932850811,insufficient-design
shared,sample,1000,,0.2049125,0.1920621875,0.21811343749999998,271.8894637409838,270.2636826299549,273.60015011048785,reliable
shared,seed,,5,0.183,0.0904,0.2666,275.76136558008034,264.77085138740466,287.46151630570796,insufficient-design
shared,seed,,10,0.1878,0.137695,0.2355049999999999,274.2055156042176,267.95393351339527,280.7231955239695,insufficient-design
shared,seed,,20,0.1966,0.1651,0.22780124999999998,272.4697148802611,268.1887558296884,276.6586466540832,precision-not-met
shared,seed,,80,0.2049125,0.1920490625,0.2179628125,271.8894637409838,270.2671878202386,273.5173566092925,reliable
shared-reserved,sample,100,,0.58525,0.55875,0.609128125,216.2401597031479,212.76131082737496,219.84528573333046,insufficient-design
shared-reserved,sample,300,,0.586125,0.5624989583333333,0.6091677083333333,215.72492574947665,212.63647393622153,219.2264139346909,insufficient-design
shared-reserved,sample,1000,,0.5841,0.5601871875,0.606025,215.96667535090418,212.92561230849734,219.34058913429732,reliable
shared-reserved,seed,,5,0.4876,0.2684,0.6570399999999994,234.24871076749807,211.4026786827716,264.2838283639693,insufficient-design
shared-reserved,seed,,10,0.5473,0.42479000000000006,0.6434025,223.68311654462443,210.60720512582049,241.34032358519863,insufficient-design
shared-reserved,seed,,20,0.5732,0.5059,0.6241512499999999,218.81085478262975,211.89304815236608,228.30725905671724,precision-not-met
shared-reserved,seed,,80,0.5841,0.5610234375,0.6062890624999999,215.96667535090418,212.8244569406231,219.28967629648736,reliable
