condition,checkpoint_type,sample_count_per_seed,seed_count,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,reliability_status
central-gcs,sample,100,,0.608,0.584,0.632,190.32546590660965,185.6500341890929,195.09465283358657,insufficient-design
central-gcs,sample,300,,0.6051666666666666,0.5791666666666667,0.6326708333333333,190.90756909270172,185.9512080032741,196.12297059789876,insufficient-design
central-gcs,sample,1000,,0.60775,0.5875987500000001,0.6291,190.51121587318676,186.21798833157098,194.8082077117468,reliable
central-gcs,seed,,5,0.6172,0.5978,0.6366,186.6832463864263,180.7031454963611,192.66334727649144,insufficient-design
central-gcs,seed,,10,0.6001,0.5739,0.6293025,191.8820822676435,185.72598051514345,198.70581899809528,insufficient-design
central-gcs,seed,,20,0.60775,0.58684875,0.6286,190.51121587318676,186.39910981709525,194.75174423299626,reliable
asoc,sample,100,,0.5755,0.544,0.608,195.9025059009737,189.5462797056545,201.86941843848655,insufficient-design
asoc,sample,300,,0.5821666666666667,0.5555,0.6073374999999999,194.66367541449802,189.60467248302763,200.0659890707068,insufficient-design
asoc,sample,1000,,0.59215,0.56959875,0.61490125,193.2215332230072,188.28638557193736,198.36857312155513,reliable
asoc,seed,,5,0.6024,0.559,0.6382,192.53991775415292,182.33667480405927,204.26607445533355,insufficient-design
asoc,seed,,10,0.5811,0.5540975,0.6077,195.39441756175523,188.3233874923871,202.96614900653165,insufficient-design
asoc,seed,,20,0.59215,0.5694,0.61525,193.2215332230072,188.1518489404421,198.29996497565742,reliable
mappo,sample,100,,0.3315,0.2755,0.3850124999999998,241.16989364252046,230.96485622998048,251.21288948420295,insufficient-design
mappo,sample,300,,0.33616666666666667,0.2858291666666667,0.38316666666666666,240.92063286073292,232.71328427841752,249.5261070929912,insufficient-design
mappo,sample,1000,,0.3268,0.28059625000000005,0.3702,242.39805325231137,234.92503567770896,250.06913696363475,precision-not-met
mappo,seed,,5,0.3886,0.2992,0.4628,231.39094547370337,219.40489673756161,244.8041952074689,insufficient-design
mappo,seed,,10,0.343,0.2796,0.40540249999999994,240.29233482088438,230.35315746554156,250.65450700285345,insufficient-design
mappo,seed,,20,0.3268,0.28094625,0.37345125,242.39805325231137,234.78937210163068,250.33325758126188,precision-not-met
hybrid,sample,100,,0.3315,0.27648750000000005,0.3860124999999998,241.16989364252046,230.4790394690992,251.07054539947603,insufficient-design
hybrid,sample,300,,0.33616666666666667,0.28616250000000004,0.3838416666666666,240.92063286073292,232.3386398208512,249.40193159311843,insufficient-design
hybrid,sample,1000,,0.3268,0.27965,0.3712,242.39805325231137,234.74844525795,250.1860560177002,precision-not-met
hybrid,seed,,5,0.3886,0.2992,0.4628,231.39094547370337,219.40489673756161,244.71330335518886,insufficient-design
hybrid,seed,,10,0.343,0.2771,0.4063,240.29233482088438,230.17123993132017,250.52615411680435,insufficient-design
hybrid,seed,,20,0.3268,0.27944749999999996,0.3717587499999999,242.39805325231137,235.0322418447413,250.013992554495,precision-not-met
