target_layer,condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit
Tank-nominal,proposed-fab-terrain-gcs,0.1104126473506537,0.5706,161.8502828185133,221.1717713762437,0.4294
Tank-nominal,ablation-terrain-off,0.11659304070081866,0.3409,164.89541107764126,253.94284563636788,0.6591
Tank-nominal,ablation-myopic,0.1101611197143098,0.58495,157.95479331260023,216.91065634820555,0.41505000000000003
Tank-nominal,ablation-independent,0.03388436586747416,0.19615,164.38197918029348,273.3985252162145,0.80385
Tank-nominal,baseline-sarops-core,0.2149563165199492,0.27705,220.28500812062006,277.91496149981776,0.72295
Tank-nominal,baseline-sarops-adapted,0.264127973174104,0.60105,172.2742260944652,223.23042359407827,0.39895
TEL-nominal,proposed-fab-terrain-gcs,0.10912306915162058,0.5189,159.16751874101487,226.92202547471263,0.48109999999999997
TEL-nominal,ablation-terrain-off,0.1212922157480694,0.2697,160.35544659114615,262.3378639456321,0.7303
TEL-nominal,ablation-myopic,0.10878370646766448,0.53665,155.86423402272007,222.64954118829272,0.46335000000000004
TEL-nominal,ablation-independent,0.03388436586747416,0.1845,161.18841512574042,274.3892625906991,0.8155
TEL-nominal,baseline-sarops-core,0.2149563165199492,0.28325,218.40891507701505,276.88932519556454,0.71675
TEL-nominal,baseline-sarops-adapted,0.2619640370011135,0.53565,167.3668870732538,228.9550730607884,0.46435000000000004
Aggregate,ablation-independent,0.03388436586747416,0.190325,162.8340675342537,273.89389390345684,0.809675
Aggregate,ablation-myopic,0.10947241309098713,0.5608,156.9545270475198,219.7800987682491,0.43920000000000003
Aggregate,ablation-terrain-off,0.11894262822444404,0.3053,162.8901237831641,258.140354791,0.6947
Aggregate,baseline-sarops-adapted,0.2630460050876087,0.56835,169.9617283846808,226.09274832743333,0.43165
Aggregate,baseline-sarops-core,0.2149563165199492,0.28015,219.33658164444455,277.4021433476912,0.71985
Aggregate,proposed-fab-terrain-gcs,0.10976785825113713,0.54475,160.57255332809208,224.04689842547816,0.45525000000000004
