condition,checkpoint_type,sample_count_per_seed,seed_count,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,reliability_status
fab,sample,100,,0.209,0.179,0.2425124999999998,271.63575062286003,267.2348398371785,275.500908177296,insufficient-design
fab,sample,300,,0.202,0.17616666666666667,0.23066666666666666,272.33994507971795,268.4314313426757,276.012613328879,insufficient-design
fab,sample,1000,,0.199,0.178,0.22065125,273.17682925534064,270.1379692945361,276.0268308743868,reliable
fab,seed,,5,0.2274,0.1982,0.2632,270.92483771108715,264.61444517710765,276.8786384840238,insufficient-design
fab,seed,,10,0.2152,0.1872,0.2439,271.8332512684073,267.14814751263276,276.316565112827,insufficient-design
fab,seed,,20,0.199,0.17875,0.22000124999999998,273.17682925534064,270.25298852863045,276.0603288726927,reliable
fab-route,sample,100,,0.1925,0.1685,0.2175,270.01683528832325,265.494959872755,274.4498947714901,insufficient-design
fab-route,sample,300,,0.20383333333333334,0.18183333333333335,0.22483333333333333,268.492353620754,265.00851362154054,271.97747062321054,insufficient-design
fab-route,sample,1000,,0.19825,0.18159875,0.21660124999999997,268.96170835507223,265.71029176356365,271.9316897862925,reliable
fab-route,seed,,5,0.2072,0.1732,0.2376,267.1976741014244,259.7003865408181,274.69496166203066,insufficient-design
fab-route,seed,,10,0.2118,0.1854,0.23860249999999997,268.17726591228165,263.1091452174812,272.98041638297866,insufficient-design
fab-route,seed,,20,0.19825,0.18104874999999998,0.21650249999999996,268.96170835507223,265.9275322421072,271.9599946558079,reliable
myopic,sample,100,,0.189,0.1585,0.2255,274.4483840536403,269.7758770499374,278.5047881915839,insufficient-design
myopic,sample,300,,0.1905,0.16533333333333333,0.21833333333333332,274.1275548265579,270.00249431578436,277.746158115976,insufficient-design
myopic,sample,1000,,0.1894,0.16934875,0.21065249999999996,274.59406675838756,271.63169213948305,277.35310259318027,reliable
myopic,seed,,5,0.2198,0.1842,0.2578,272.30843924401984,265.2113132191683,279.4055652688714,insufficient-design
myopic,seed,,10,0.2114,0.1823,0.24170249999999996,272.5250520348736,267.58339775426407,277.2448864342534,insufficient-design
myopic,seed,,20,0.1894,0.169,0.21050249999999995,274.59406675838756,271.6809749780514,277.421192375082,reliable
