condition,checkpoint_type,sample_count_per_seed,seed_count,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,reliability_status
independent,sample,100,,0.284375,0.268875,0.300875,255.0798871881492,252.43610739036066,257.69880355195977,insufficient-design
independent,sample,300,,0.2796666666666667,0.2664572916666667,0.2935,256.18146843520384,253.9973514615565,258.2809326144909,insufficient-design
independent,sample,1000,,0.276975,0.2647734375,0.28940062499999997,256.3942036903282,254.51040156458149,258.2471268804376,reliable
independent,seed,,5,0.2862,0.215,0.375,256.9343100352787,242.20313969222912,267.6608017914662,insufficient-design
independent,seed,,10,0.2807,0.2364,0.3321,256.8318562373606,249.21289734359829,263.21194843381215,insufficient-design
independent,seed,,20,0.2783,0.2508,0.30960125,257.73893428791615,253.20749294610656,261.7583858226568,reliable
independent,seed,,80,0.276975,0.2647621875,0.289438125,256.3942036903282,254.46015080273799,258.3300036575859,reliable
shared,sample,100,,0.612375,0.591625,0.63325,199.43355720593635,195.30208803747945,203.66124551659308,insufficient-design
shared,sample,300,,0.6012083333333333,0.580871875,0.6217916666666666,201.69166422101048,197.79207883326933,205.5299847342498,insufficient-design
shared,sample,1000,,0.60375,0.5842487500000001,0.6231637499999999,201.47181601077554,197.7635326541385,205.3122613321508,reliable
shared,seed,,5,0.6864,0.6318,0.741,191.4123695371827,174.89196464500992,205.10276098835266,insufficient-design
shared,seed,,10,0.6439,0.5890974999999999,0.697,195.89065524131544,185.35472512891005,206.10179159532086,insufficient-design
shared,seed,,20,0.61335,0.57464875,0.65330125,200.68454349799808,192.95987012291394,208.32021825271644,precision-not-met
shared,seed,,80,0.60375,0.584461875,0.6231131249999999,201.47181601077554,197.80851964711545,205.17023538526158,reliable
shared-past,sample,100,,0.299125,0.282746875,0.316375,254.24916392766545,251.69456392115728,256.8326696503927,insufficient-design
shared-past,sample,300,,0.291875,0.278790625,0.3050833333333333,255.5222439928674,253.384542323789,257.6575782586031,insufficient-design
shared-past,sample,1000,,0.288875,0.2766746875,0.3013003125,255.7902327432407,253.85127482319172,257.75279887076914,reliable
shared-past,seed,,5,0.304,0.2442,0.3806,255.71373666477706,241.18300371537023,266.7589701079877,insufficient-design
shared-past,seed,,10,0.2929,0.2474975,0.3420025,256.0609424516865,248.08684481305488,262.5456416170942,insufficient-design
shared-past,seed,,20,0.2895,0.26205,0.31895125,257.0987858361685,252.61591938927867,261.05722654781863,reliable
shared-past,seed,,80,0.288875,0.2768996875,0.3008259375,255.7902327432407,253.85956623122945,257.7151849543876,reliable
shared-reserved,sample,100,,0.620375,0.600375,0.6415,197.2427962649013,193.49274041590203,201.0804674148149,insufficient-design
shared-reserved,sample,300,,0.611625,0.5915822916666666,0.630709375,198.8802590880996,195.17467375994482,202.43281616449002,insufficient-design
shared-reserved,sample,1000,,0.614075,0.5955609375,0.6329390625,198.8282238126643,195.32585173160626,202.33451980758284,reliable
shared-reserved,seed,,5,0.6604,0.5894,0.7378,194.28766958641936,171.13835117121442,213.45431825408818,insufficient-design
shared-reserved,seed,,10,0.6441,0.5881,0.7032025000000001,194.5970341070087,181.0229806810803,206.56903375658442,insufficient-design
shared-reserved,seed,,20,0.62245,0.5852437500000001,0.66210125,198.23632594391813,189.8645007298225,205.5602119960415,precision-not-met
shared-reserved,seed,,80,0.614075,0.5952121875,0.63255,198.8282238126643,195.4237837578265,202.3158200852377,reliable
