condition,checkpoint_type,sample_count_per_seed,seed_count,detection_mean,detection_ci_low,detection_ci_high,restricted_time_mean_s,restricted_time_ci_low_s,restricted_time_ci_high_s,reliability_status
central-gcs,sample,100,,0.633,0.6065,0.658,189.9205566754887,184.78973728667967,195.27035790979397,insufficient-design
central-gcs,sample,300,,0.6276666666666667,0.6025,0.6513333333333333,189.94339302615526,184.3694464584998,195.69827779970382,insufficient-design
central-gcs,sample,1000,,0.62655,0.60925,0.64315,189.83755692794625,185.27794147394414,194.29441304381126,reliable
central-gcs,seed,,5,0.6588,0.6212,0.6876,181.34380742932237,174.5081032898393,187.0053429795136,insufficient-design
central-gcs,seed,,10,0.6334,0.6045,0.6617,187.97902245300827,181.19592262619065,195.1179943456529,insufficient-design
central-gcs,seed,,20,0.62655,0.6095487500000001,0.64375,189.83755692794625,185.36915459174065,194.36912774270849,reliable
mappo,sample,100,,0.32,0.281,0.3585,244.93881787788456,236.77950729543898,253.03955976620955,insufficient-design
mappo,sample,300,,0.31716666666666665,0.2788291666666667,0.356,245.78644581980305,238.74436388239837,252.65560877406153,insufficient-design
mappo,sample,1000,,0.31615,0.27739874999999997,0.35495125,245.6870663079069,238.37540891533055,252.6220397786809,precision-not-met
mappo,seed,,5,0.27,0.2078,0.3358,254.4890505602045,242.85253462517426,264.18443843826515,insufficient-design
mappo,seed,,10,0.2869,0.23229750000000002,0.3425,251.5061866535103,241.7667426207575,260.54861011040805,insufficient-design
mappo,seed,,20,0.31615,0.2777475,0.3544,245.6870663079069,238.5223545709152,252.6383405801802,precision-not-met
