target_layer,condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit
TEL-nominal,ablation-terrain-off,0.18928253135313025,0.349125,137.7433207875057,243.35213686993794,0.650875
TEL-nominal,ablation-independent,0.0342436910622512,0.261525,146.40952989036327,259.83225230457725,0.738475
TEL-nominal,ablation-effort-greedy,0.17092500640218805,0.583675,152.63693182411131,213.98786118243817,0.41632499999999995
TEL-nominal,proposed-terrain-gcs-team-h1-overlap-aware,0.1412726928287545,0.592675,142.1242292749759,206.43097758554634,0.40732500000000005
TEL-nominal,candidate-terrain-gcs-team-h2,0.1432429926467819,0.580525,148.079350128335,211.80626473325165,0.41947500000000004
TEL-nominal,ablation-spatial-reservation-off,0.10745220699590737,0.568075,132.72379884192947,204.97457202712908,0.431925
TEL-nominal,baseline-sarops-core,0.11426541193909631,0.312275,138.22558816263572,249.4818955434871,0.6877249999999999
TEL-nominal,baseline-sarops-adapted,0.11471856093473183,0.319325,137.2685638403986,248.03578414833527,0.6806749999999999
Tank-nominal,ablation-terrain-off,0.18928253135313025,0.441675,150.19671318535396,233.83563329614122,0.558325
Tank-nominal,ablation-independent,0.0342436910622512,0.287025,149.74537689463784,256.87316680318344,0.712975
Tank-nominal,ablation-effort-greedy,0.17092500640218805,0.65585,155.52528461735662,205.24625791629333,0.34414999999999996
Tank-nominal,proposed-terrain-gcs-team-h1-overlap-aware,0.1412726928287545,0.661475,145.71731904969099,197.94586361839436,0.33852499999999996
Tank-nominal,candidate-terrain-gcs-team-h2,0.1432429926467819,0.6467,151.4831802663981,203.95417267827963,0.35329999999999995
Tank-nominal,ablation-spatial-reservation-off,0.10745220699590737,0.62615,136.14566853095442,197.4026103506571,0.37385
Tank-nominal,baseline-sarops-core,0.11426541193909631,0.279225,138.5038827525402,254.90624666157802,0.7207749999999999
Tank-nominal,baseline-sarops-adapted,0.11471856093473183,0.289675,137.6473756122525,252.97050353047922,0.710325
Aggregate,ablation-terrain-off,0.18928253135313025,0.3954,144.69874831320072,238.59388508303957,0.6046
Aggregate,ablation-independent,0.0342436910622512,0.274275,148.1549888027722,258.35270955388035,0.725725
Aggregate,ablation-effort-greedy,0.17092500640218805,0.6197625,154.16519965206953,209.61705954936576,0.3802375
Aggregate,proposed-terrain-gcs-team-h1-overlap-aware,0.1412726928287545,0.627075,144.01932879156456,202.18842060197034,0.37292499999999995
Aggregate,candidate-terrain-gcs-team-h2,0.1432429926467819,0.6136125,149.87303665711772,207.88021870576566,0.3863875
Aggregate,ablation-spatial-reservation-off,0.10745220699590737,0.5971125,134.5179362161956,201.18859118889307,0.40288749999999995
Aggregate,baseline-sarops-core,0.11426541193909631,0.29575,138.35696061718528,252.19407110253255,0.70425
Aggregate,baseline-sarops-adapted,0.11471856093473183,0.3045,137.44874824107475,250.50314383940724,0.6955
