target_layer,condition,unique_area_coverage_ratio,detection_probability_within_limit,conditional_mean_detection_time_s,restricted_mean_detection_time_s,failure_rate_within_limit
Tank-nominal,proposed-fab-terrain-gcs,0.016928209176162418,0.0,,120.0,1.0
Tank-nominal,ablation-terrain-off,0.017247609349297557,0.0,,120.0,1.0
Tank-nominal,ablation-myopic,0.016928209176162418,0.0,,120.0,1.0
Tank-nominal,ablation-independent,0.009661855237337983,0.0,,120.0,1.0
Tank-nominal,baseline-sarops-core,0.03393626839560862,0.0,,120.0,1.0
Tank-nominal,baseline-sarops-adapted,0.07194488899869028,0.04,95.62458065340464,119.02498322613617,0.96
TEL-nominal,proposed-fab-terrain-gcs,0.016888284154520525,0.01,79.76703957039179,119.59767039570391,0.99
TEL-nominal,ablation-terrain-off,0.017247609349297557,0.005,71.47070927865845,119.75735354639328,0.995
TEL-nominal,ablation-myopic,0.016928209176162418,0.01,79.76703957039179,119.59767039570391,0.99
TEL-nominal,ablation-independent,0.011059230994804221,0.005,42.123079263276885,119.61061539631639,0.995
TEL-nominal,baseline-sarops-core,0.03393626839560862,0.0,,120.0,1.0
TEL-nominal,baseline-sarops-adapted,0.07086691341435919,0.025,109.20593088867156,119.7301482722168,0.975
Aggregate,ablation-independent,0.010360543116071104,0.0025,42.123079263276885,119.80530769815817,0.9975
Aggregate,ablation-myopic,0.016928209176162418,0.005,79.76703957039179,119.79883519785194,0.995
Aggregate,ablation-terrain-off,0.017247609349297557,0.0025,71.47070927865845,119.87867677319664,0.9975
Aggregate,baseline-sarops-adapted,0.07140590120652474,0.0325,100.84817689773806,119.37756574917648,0.9675
Aggregate,baseline-sarops-core,0.03393626839560862,0.0,,120.0,1.0
Aggregate,proposed-fab-terrain-gcs,0.01690824666534147,0.005,79.76703957039179,119.79883519785194,0.995
